Designator,Mid X,Mid Y,Rotation,Layer
R28,73.69,-65.855,270.0,top
R29,108.47,-78.59,270.0,bottom
R3,102.76,-46.18,90.0,top
R30,110.6,-78.59,270.0,bottom
R31,173.62,-56.98,90.0,top
R32,61.98,-44.23,180.0,top
R33,91.307,-30.490998,270.0,top
R34,58.57,-44.23,180.0,top
R35,93.247,-30.490998,270.0,top
R36,108.6,-33.67,270.0,top
R37,106.65,-33.67,270.0,top
R38,104.71,-33.67,90.0,top
R39,112.08,-44.64,0.0,bottom
R4,99.1475,-42.98,0.0,top
R40,112.08,-42.6,0.0,bottom
R41,87.05,-131.63,180.0,bottom
R42,118.27,-131.1,0.0,bottom
R43,131.59,-131.63,180.0,bottom
R44,131.58,-129.7,180.0,bottom
R45,146.27,-131.1,0.0,bottom
R46,159.59,-131.63,180.0,bottom
R47,75.95,-82.03,90.0,top
R48,73.76,-76.855,270.0,top
R49,118.5,-102.55,180.0,bottom
R5,98.82,-45.76,90.0,top
R50,45.9,-102.6,180.0,bottom
R51,87.1875,-129.7,0.0,bottom
R6,108.24,-45.87,90.0,top
R7,111.4025,-44.43,180.0,top
R8,159.89,-100.99,0.0,bottom
R9,155.92,-99.61,90.0,bottom
U10,80.48,-101.955,0.0,top
U11,52.48,-101.955,0.0,top
U12,52.479,-129.955,180.0,top
U13,80.48,-129.955,180.0,top
U14,125.02,-129.955,180.0,top
U15,153.02,-129.955,180.0,top
U16,69.5,-79.685,0.0,top
U2,153.02,-101.955,0.0,top
U3,104.66,-40.24,90.0,top
U30,145.95,-39.15,90.0,top
U32,94.017,-34.070998,90.0,top
U33,91.69,-41.9225,270.0,top
U35,158.75,-59.16,180.0,top
U36,170.5625,-59.16,90.0,top
U37,147.4,-92.75,0.0,top
U38,76.13,-80.13,180.0,bottom
U4,69.5,-58.275,0.0,top
U5,69.5,-68.915,0.0,top
U6,62.16,-50.1025,90.0,top
U7,166.9325,-59.16,90.0,top
U8,167.0,-101.8,90.0,bottom
U9,125.02,-101.955,0.0,top
